rocket_family,mission,rocket,provider,year,launch_site,location,status,era
Sputnik 11A59,Polyot-2,Sputnik 11A59,Soviet Space Program,1964,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Space Race
Atlas D,FIRE 1,Atlas D,United States Air Force,1964,Launch Complex 12,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Molniya 8K78,Luna-5b,Molniya 8K78,Soviet Space Program,1964,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure,Space Race
Thor DM-21 Ablestar,Transit-5BN 3,Thor DM-21 Ablestar,United States Air Force,1964,Space Launch Complex 2E,"Vandenberg SFB, CA, USA",Launch Failure,Space Race
Atlas Agena D,KH-7 7,Atlas Agena D,United States Air Force,1964,Space Launch Complex 4W,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Vostok 8A92,Zenit-2 17,Vostok 8A92,Soviet Space Program,1964,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Space Race
Thor SLV-2A Agena D,KH-4A 5,Thor SLV-2A Agena D,United States Air Force,1964,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Little Joe II,A-001,Little Joe II,National Aeronautics and Space Administration,1964,Launch Complex 36,White Sands Missile Range,Launch Successful,Space Race
Voskhod,Zenit-4 2,Voskhod,Soviet Space Program,1964,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Space Race
Atlas Agena D,KH-7 8,Atlas Agena D,United States Air Force,1964,Space Launch Complex 4W,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Saturn I,Saturn-SA 6,Saturn I,National Aeronautics and Space Administration,1964,Space Launch Complex 37B,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Scout X-4,Transit VC,Scout X-4,United States Air Force,1964,Space Launch Complex 5,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Molniya 8K78,Molniya-1 1a,Molniya 8K78,Soviet Space Program,1964,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure,Space Race
Thor SLV-2A Agena D,KH-4A 6,Thor SLV-2A Agena D,United States Air Force,1964,Space Launch Complex 3W,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Kosmos-2I 63S1,DS-MT 2,Kosmos-2I 63S1,Soviet Space Program,1964,Mayak-2,"Kapustin Yar, Russian Federation",Launch Successful,Space Race
Vostok 8A92,Zenit-2 18,Vostok 8A92,Soviet Space Program,1964,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Space Race
Thor SLV-2A Agena D,KH-5 11,Thor SLV-2A Agena D,United States Air Force,1964,Space Launch Complex 2W,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Thor SLV-2 Agena D,DSAP-1 F8 & F9,Thor SLV-2 Agena D,United States Air Force,1964,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Thor SLV-2A Agena D,KH-4A 7,Thor SLV-2A Agena D,United States Air Force,1964,Space Launch Complex 2E,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Vostok 8A92,Zenit-2 19,Vostok 8A92,Soviet Space Program,1964,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Space Race
Scout X-4,ESRS,Scout X-4,United States Air Force,1964,Space Launch Complex 5,"Vandenberg SFB, CA, USA",Launch Failure,Space Race
Atlas Centaur,AC-3 Instrumentation Ring,Atlas Centaur,United States Air Force,1964,Launch Complex 36A,"Cape Canaveral SFS, FL, USA",Launch Failure,Space Race
Voskhod,Zenit-4 3,Voskhod,Soviet Space Program,1964,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Space Race
Thor SLV-2A Agena D,P-698BK Group 2-D 2,Thor SLV-2A Agena D,United States Air Force,1964,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Atlas Agena D,KH-7 9,Atlas Agena D,United States Air Force,1964,Space Launch Complex 4W,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Vostok,Elektron-3 &4,Vostok,Soviet Space Program,1964,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Space Race
Thor SLV-2A Agena D,KH-4A 8,Thor SLV-2A Agena D,United States Air Force,1964,Space Launch Complex 3W,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Vostok 8A92,Zenit-2 20,Vostok 8A92,Soviet Space Program,1964,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Space Race
Atlas Agena D,Vela 2A & 2B,Atlas Agena D,United States Air Force,1964,Space Launch Complex 13,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Atlas Agena B,Ranger 7,Atlas Agena B,United States Air Force,1964,Launch Complex 12,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Kosmos-2I 63S1,DS-P1-Yu 1,Kosmos-2I 63S1,Soviet Space Program,1964,Mayak-2,"Kapustin Yar, Russian Federation",Launch Successful,Space Race
Thor SLV-2A Agena D,KH-4A 9,Thor SLV-2A Agena D,United States Air Force,1964,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Vostok 8A92,Zenit-2 21,Vostok 8A92,Soviet Space Program,1964,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Space Race
Atlas SLV-3 Agena D,KH-7 10,Atlas SLV-3 Agena D,United States Air Force,1964,Space Launch Complex 4E,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Scout X-4A,Reentry-4A,Scout X-4A,National Aeronautics and Space Administration,1964,Launch Area 3,"Wallops Flight Facility, Virginia, USA",Launch Successful,Space Race
Kosmos 65S3,"Strela-1 1,2,3",Kosmos 65S3,Soviet Space Program,1964,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Space Race
Thor Delta D,Syncom 3,Thor Delta D,United States Air Force,1964,Space Launch Complex 17A,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Thor SLV-2A Agena D,KH-5 12,Thor SLV-2A Agena D,United States Air Force,1964,Space Launch Complex 2W,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Molniya 8K78,Molniya-1 1b,Molniya 8K78,Soviet Space Program,1964,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Space Race
Kosmos-2I 63S1,"Strela-1 4,5",Kosmos-2I 63S1,Soviet Space Program,1964,Mayak-2,"Kapustin Yar, Russian Federation",Launch Successful,Space Race
Scout X-4,Explorer 20,Scout X-4,National Aeronautics and Space Administration,1964,Space Launch Complex 5,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Thor SLV-2 Agena B,Nimbus 1,Thor SLV-2 Agena B,United States Air Force,1964,Space Launch Complex 2E,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Vostok 8A92M,Meteor-1 1,Vostok 8A92M,Soviet Space Program,1964,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Space Race
Titan IIIA,Transtage 1,Titan IIIA,United States Air Force,1964,Space Launch Complex 20,"Cape Canaveral SFS, FL, USA",Launch Failure,Space Race
Atlas Agena B,OGO 1,Atlas Agena B,United States Air Force,1964,Launch Complex 12,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Voskhod,Zenit-4 4,Voskhod,Soviet Space Program,1964,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Space Race
Thor SLV-2A Agena D,KH-4A 10,Thor SLV-2A Agena D,United States Air Force,1964,Space Launch Complex 3W,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Saturn I,Saturn-SA 7,Saturn I,National Aeronautics and Space Administration,1964,Space Launch Complex 37B,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Atlas SLV-3 Agena D,KH-7 11,Atlas SLV-3 Agena D,United States Air Force,1964,Space Launch Complex 4E,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Vostok 8A92,Zenit-2 22,Vostok 8A92,Soviet Space Program,1964,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Space Race
Thor Delta C,Explorer 21,Thor Delta C,United States Air Force,1964,Space Launch Complex 17A,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Thor SLV-2A Agena D,KH-4A 11,Thor SLV-2A Agena D,United States Air Force,1964,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Voskhod,Voskhod-3KV 1,Voskhod,Soviet Space Program,1964,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Space Race
Thor DM-21 Ablestar,Transit-O 1,Thor DM-21 Ablestar,United States Air Force,1964,Space Launch Complex 2W,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Atlas SLV-3 Agena D,KH-7 12,Atlas SLV-3 Agena D,United States Air Force,1964,Space Launch Complex 4E,"Vandenberg SFB, CA, USA",Launch Failure,Space Race
Scout X-4,Beacon Explorer B,Scout X-4,National Aeronautics and Space Administration,1964,Space Launch Complex 5,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Voskhod,Voskhod 1,Voskhod,Soviet Space Program,1964,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Space Race
Vostok 8A92,Zenit-2 23,Vostok 8A92,Soviet Space Program,1964,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Space Race
Thor SLV-2A Agena D,KH-4A 12,Thor SLV-2A Agena D,United States Air Force,1964,Space Launch Complex 3W,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Kosmos 65S3,"Strela-1 6,7,8",Kosmos 65S3,Soviet Space Program,1964,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure,Space Race
Atlas Agena D,KH-7 13,Atlas Agena D,United States Air Force,1964,Space Launch Complex 4W,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Kosmos-2I 63S1,DS-MG 2,Kosmos-2I 63S1,Soviet Space Program,1964,Mayak-2,"Kapustin Yar, Russian Federation",Launch Successful,Space Race
Vostok 8A92,Zenit-2 24,Vostok 8A92,Soviet Space Program,1964,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Space Race
Thor SLV-2A Agena D,KH-4A 13,Thor SLV-2A Agena D,United States Air Force,1964,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Thor SLV-2A Agena D,P-698BK Group 3-D 1,Thor SLV-2A Agena D,United States Air Force,1964,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Atlas Agena D,Mariner 3,Atlas Agena D,United States Air Force,1964,Space Launch Complex 13,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Scout X-4,Explorer 23,Scout X-4,National Aeronautics and Space Administration,1964,Launch Area 3,"Wallops Flight Facility, Virginia, USA",Launch Successful,Space Race
Nike Cajun,Trailblazer Pellet,Nike Cajun,National Aeronautics and Space Administration,1964,Unknown Pad,"Wallops Flight Facility, Virginia, USA",Launch Successful,Space Race
Thor SLV-2A Agena D,KH-4A 14,Thor SLV-2A Agena D,United States Air Force,1964,Space Launch Complex 2E,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Scout X-4,Explorer 24 & 25,Scout X-4,National Aeronautics and Space Administration,1964,Space Launch Complex 5,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Atlas Agena D,Mariner 4,Atlas Agena D,United States Air Force,1964,Launch Complex 12,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Molniya 8K78,Zond-2,Molniya 8K78,Soviet Space Program,1964,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Space Race
Kosmos-2I 63S1,DS-2 2,Kosmos-2I 63S1,Soviet Space Program,1964,,"Kapustin Yar, Russian Federation",Launch Failure,Space Race
Atlas SLV-3 Agena D,KH-7 14,Atlas SLV-3 Agena D,United States Air Force,1964,Space Launch Complex 4E,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Little Joe II,A-002,Little Joe II,National Aeronautics and Space Administration,1964,Launch Complex 36,White Sands Missile Range,Launch Successful,Space Race
Kosmos-2I 63S1,DS-MT 3,Kosmos-2I 63S1,Soviet Space Program,1964,,"Kapustin Yar, Russian Federation",Launch Successful,Space Race
Titan IIIA,Transtage 2,Titan IIIA,United States Air Force,1964,Space Launch Complex 20,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Atlas Centaur,Surveyor Mass Model,Atlas Centaur,United States Air Force,1964,Launch Complex 36A,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Thor DM-21 Ablestar,Transit-O 2 & 5E-5,Thor DM-21 Ablestar,United States Air Force,1964,Space Launch Complex 2W,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Scout X-4,San Marco 1,Scout X-4,National Research Council,1964,Launch Area 3A,"Wallops Flight Facility, Virginia, USA",Launch Successful,Space Race
Thor SLV-2A Agena D,KH-4A 15,Thor SLV-2A Agena D,United States Air Force,1964,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Thor Delta C,Explorer 26,Thor Delta C,United States Air Force,1964,Space Launch Complex 17A,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Thor SLV-2A Agena D,Quill 1,Thor SLV-2A Agena D,United States Air Force,1964,Space Launch Complex 2E,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Vostok 8A92,Zenit-2 25,Vostok 8A92,Soviet Space Program,1965,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Space Race
Thor SLV-2A Agena D,KH-4A 16,Thor SLV-2A Agena D,United States Air Force,1965,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Thor MG-18,DSAP-1 F10,Thor MG-18,United States Air Force,1965,Space Launch Complex 10W,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Titan II GLV,Gemini II,Titan II,United States Air Force,1965,Launch Complex 19,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Atlas D,OV1-1,Atlas D,United States Air Force,1965,576B3,"Vandenberg SFB, CA, USA",Launch Failure,Space Race
Thor Delta C,Tiros 9,Thor Delta C,United States Air Force,1965,Space Launch Complex 17A,"Cape Canaveral SFS, FL, USA",Launch Failure,Space Race
Atlas SLV-3 Agena D,KH-7 15,Atlas SLV-3 Agena D,United States Air Force,1965,Space Launch Complex 4W,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Kosmos-2I 63S1,DS-A1 5,Kosmos-2I 63S1,Soviet Space Program,1965,,"Kapustin Yar, Russian Federation",Launch Successful,Space Race
Thor Delta C,OSO 2,Thor Delta C,United States Air Force,1965,Space Launch Complex 17B,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Titan IIIA,LES 1,Titan IIIA,United States Air Force,1965,Space Launch Complex 20,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Kosmos-2I 63S1,DS-P1-Yu 2,Kosmos-2I 63S1,Soviet Space Program,1965,,"Kapustin Yar, Russian Federation",Launch Failure,Space Race
Saturn I,Pegasus 1,Saturn I,National Aeronautics and Space Administration,1965,Space Launch Complex 37B,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Atlas Agena B,Ranger 8,Atlas Agena B,United States Air Force,1965,Launch Complex 12,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Kosmos-2I 63S1,DS-A1 6,Kosmos-2I 63S1,Soviet Space Program,1965,,"Kapustin Yar, Russian Federation",Launch Failure,Space Race
Kosmos 65S3,"Strela-1 9,10,11",Kosmos 65S3,Soviet Space Program,1965,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Space Race
Voskhod,Voskhod-3KD 1,Voskhod,Soviet Space Program,1965,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Space Race
Thor SLV-2A Agena D,KH-4A 17,Thor SLV-2A Agena D,United States Air Force,1965,Space Launch Complex 3W,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Vostok 8A92M,Meteor-1 2,Vostok 8A92M,Soviet Space Program,1965,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Space Race
Atlas Centaur,Surveyor-SD 1,Atlas Centaur,United States Air Force,1965,Launch Complex 36A,"Cape Canaveral SFS, FL, USA",Launch Failure,Space Race
Voskhod,Zenit-4 5,Voskhod,Soviet Space Program,1965,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Space Race
Thor SLV-2 Agena D,"Poppy 6A,B,C,D",Thor SLV-2 Agena D,United States Air Force,1965,Space Launch Complex 2W,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Thor DM-21 Ablestar,Transit-O 3,Thor DM-21 Ablestar,United States Air Force,1965,Space Launch Complex 2E,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Molniya 8K78,Luna-5c,Molniya 8K78,Soviet Space Program,1965,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure,Space Race
Atlas SLV-3 Agena D,KH-7 16,Atlas SLV-3 Agena D,United States Air Force,1965,Space Launch Complex 4W,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Kosmos 65S3,"Strela-1 12,13,14",Kosmos 65S3,Soviet Space Program,1965,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Space Race
Thor MG-18,DSAP-1 F11,Thor MG-18,United States Air Force,1965,Space Launch Complex 10W,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Voskhod,Voskhod 2,Voskhod,Soviet Space Program,1965,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Space Race
Atlas Agena B,Ranger 9,Atlas Agena B,United States Air Force,1965,Launch Complex 12,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Titan II GLV,Gemini III,Titan II,National Aeronautics and Space Administration,1965,Launch Complex 19,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Vostok 8A92,Zenit-2 26,Vostok 8A92,Soviet Space Program,1965,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Space Race
Thor SLV-2A Agena D,KH-4A 18,Thor SLV-2A Agena D,United States Air Force,1965,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Blue Scout Jr,OAR 22-4,Blue Scout Jr,United States Air Force,1965,Launch Complex 18A,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Atlas SLV-3 Agena D,SNAPSHOT-1,Atlas SLV-3 Agena D,United States Air Force,1965,Space Launch Complex 4E,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Thor Delta D,Early Bird,Thor Delta D,United States Air Force,1965,Space Launch Complex 17A,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Blue Scout Jr,OAR 22-9,Blue Scout Jr,United States Air Force,1965,Launch Complex 18A,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Molniya 8K78,Luna-5d,Molniya 8K78,Soviet Space Program,1965,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure,Space Race
Voskhod,Zenit-4 6,Voskhod,Soviet Space Program,1965,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Space Race
Molniya 8K78,Molniya-1 1,Molniya 8K78,Soviet Space Program,1965,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Space Race
Atlas SLV-3 Agena D,KH-7 17,Atlas SLV-3 Agena D,United States Air Force,1965,Space Launch Complex 4E,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Scout X-4,Beacon Explorer C,Scout X-4,National Aeronautics and Space Administration,1965,Launch Area 3A,"Wallops Flight Facility, Virginia, USA",Launch Successful,Space Race
Thor SLV-2A Agena D,KH-4A 19,Thor SLV-2A Agena D,United States Air Force,1965,Space Launch Complex 3W,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Nike Cajun,Trailblazer Pellet,Nike Cajun,National Aeronautics and Space Administration,1965,Unknown Pad,"Wallops Flight Facility, Virginia, USA",Launch Successful,Space Race
Titan IIIA,LES 2,Titan IIIA,United States Air Force,1965,Space Launch Complex 20,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Vostok 8A92,Zenit-2 27,Vostok 8A92,Soviet Space Program,1965,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Space Race
Molniya 8K78,Luna-5,Molniya 8K78,Soviet Space Program,1965,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Space Race
Blue Scout Jr,OAR 22-8,Blue Scout Jr,United States Air Force,1965,Launch Complex 18A,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Thor SLV-2A Agena D,KH-4A 20,Thor SLV-2A Agena D,United States Air Force,1965,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Little Joe II,A-003,Little Joe II,National Aeronautics and Space Administration,1965,Launch Complex 36,White Sands Missile Range,Launch Failure,Space Race
Thor Burner 1,OPS 8386,Thor Burner 1,United States Air Force,1965,Space Launch Complex 10W,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Atlas D,FIRE 2,Atlas D,United States Air Force,1965,Launch Complex 12,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Saturn I,Pegasus 2,Saturn I,National Aeronautics and Space Administration,1965,Space Launch Complex 37B,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Voskhod,Zenit-4 7,Voskhod,Soviet Space Program,1965,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Space Race
Atlas SLV-3 Agena D,KH-7 18,Atlas SLV-3 Agena D,United States Air Force,1965,Space Launch Complex 4E,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Atlas D,OV1-3,Atlas D,United States Air Force,1965,576B3,"Vandenberg SFB, CA, USA",Launch Failure,Space Race
Thor Delta C,Explorer 28,Thor Delta C,United States Air Force,1965,Space Launch Complex 17B,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Titan II GLV,Gemini IV,Titan II,National Aeronautics and Space Administration,1965,Launch Complex 19,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Molniya 8K78,Luna-6,Molniya 8K78,Soviet Space Program,1965,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Space Race
Blue Scout Jr,OAR 22-5,Blue Scout Jr,United States Air Force,1965,Launch Complex 18A,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Thor SLV-2A Agena D,KH-4A 21,Thor SLV-2A Agena D,United States Air Force,1965,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Vostok 8A92,Zenit-2 28,Vostok 8A92,Soviet Space Program,1965,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Space Race
Titan IIIC,Transtage 5,Titan IIIC,United States Air Force,1965,Space Launch Complex 40,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Thor DM-21 Ablestar,Transit-O 4,Thor DM-21 Ablestar,United States Air Force,1965,Space Launch Complex 2E,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Voskhod,Zenit-4 8,Voskhod,Soviet Space Program,1965,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Space Race
Atlas SLV-3 Agena D,KH-7 19,Atlas SLV-3 Agena D,United States Air Force,1965,Space Launch Complex 4E,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
X-15,Flight 138,North American X-15,United States Air Force,1965,Edwards Air Force Base,Air launch to Suborbital flight,Launch Successful,Space Race
Falcon 9 v1.1,SpX CRS-5,Falcon 9,SpaceX,2015,Space Launch Complex 40,"Cape Canaveral SFS, FL, USA",Launch Successful,Modern
Atlas V 551,MUOS-3,Atlas V 551,United Launch Alliance,2015,Space Launch Complex 41,"Cape Canaveral SFS, FL, USA",Launch Successful,Modern
Delta II 7320-10C,"SMAP, FIREBIRD II A, FIREBIRD II B, GRIFEX, ExoCube",Delta II,United Launch Alliance,2015,Space Launch Complex 2W,"Vandenberg SFB, CA, USA",Launch Successful,Modern
H-IIA 202,IGS Radar Spare,H-IIA,Mitsubishi Heavy Industries,2015,Yoshinobu Launch Complex LP-1,"Tanegashima Space Center, Japan",Launch Successful,Modern
Proton-M Briz-M,Inmarsat-5 F2,Proton-M Briz-M,International Launch Services,2015,200/39 (200L),"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Modern
Safir,Fajr,Safir,Iranian Space Agency,2015,Safir Launch Pad,"Semnan Space Center, Islamic Republic of Iran",Launch Successful,Modern
Vega,IXV,Vega,Arianespace,2015,Ariane Launch Area 1 (ELV),"Guiana Space Centre, French Guiana",Launch Successful,Modern
Falcon 9,DSCOVR,Falcon 9,SpaceX,2015,Space Launch Complex 40,"Cape Canaveral SFS, FL, USA",Launch Successful,Modern
Soyuz-U,Progress M-26M,Soyuz U,Russian Federal Space Agency (ROSCOSMOS),2015,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Modern
Soyuz 2.1a,Bars-M (Kosmos 2503),Soyuz 2.1a,Russian Aerospace Defence Forces,2015,43/4 (43R),"Plesetsk Cosmodrome, Russian Federation",Launch Successful,Modern
Falcon 9 v1.1,Eutelsat 115 West B & ABS-3A,Falcon 9,SpaceX,2015,Space Launch Complex 40,"Cape Canaveral SFS, FL, USA",Launch Successful,Modern
Atlas V 421,MMS,Atlas V 421,United Launch Alliance,2015,Space Launch Complex 41,"Cape Canaveral SFS, FL, USA",Launch Successful,Modern
Proton-M Briz-M,Ekspress AM7,Proton-M Briz-M,Khrunichev State Research and Production Space Center,2015,200/39 (200L),"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Modern
"Delta IV M+(4,2)",GPS IIF-9 (USA-260),"Delta IV M+(4,2)",United Launch Alliance,2015,Space Launch Complex 37B,"Cape Canaveral SFS, FL, USA",Launch Successful,Modern
Dnepr 1,KOMPSat-3A,Dnepr,ISC Kosmotras,2015,,"Dombarovskiy, Russian Federation",Launch Successful,Modern
H-IIA 202,IGS Optical 5,H-IIA,Mitsubishi Heavy Industries,2015,Yoshinobu Launch Complex LP-1,"Tanegashima Space Center, Japan",Launch Successful,Modern
Soyuz FG,Soyuz TMA-16M,Soyuz,Russian Federal Space Agency (ROSCOSMOS),2015,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Modern
Soyuz STB/Fregat,Galileo L4 (FOC FM03-FM04),Soyuz STB,Arianespace,2015,Soyuz Launch Complex,"Guiana Space Centre, French Guiana",Launch Successful,Modern
PSLV XL,IRNSS-1D,PSLV-XL,Indian Space Research Organization,2015,Satish Dhawan Space Centre First Launch Pad,"Satish Dhawan Space Centre, India",Launch Successful,Modern
Long March 3C/YZ-1,BDS I1-S,Long March 3C/YZ-1,China Aerospace Science and Technology Corporation,2015,Launch Complex 2 (LC-2),"Xichang Satellite Launch Center, People's Republic of China",Launch Successful,Modern
Rokot / Briz-KM,"Gonets M-21, Gonets M-22, Gonets M-23, Kosmos 2504",Rokot/Briz-KM,Russian Aerospace Defence Forces,2015,133/3 (133L),"Plesetsk Cosmodrome, Russian Federation",Launch Successful,Modern
Falcon 9 v1.1,SpX CRS-6,Falcon 9,SpaceX,2015,Space Launch Complex 40,"Cape Canaveral SFS, FL, USA",Launch Successful,Modern
Ariane 5 ECA,Thor-7 & SICRAL-2,Ariane 5 ECA,Arianespace,2015,Ariane Launch Area 3,"Guiana Space Centre, French Guiana",Launch Successful,Modern
Falcon 9 v1.1,TürkmenÄlem 52E/MonacoSAT,Falcon 9,SpaceX,2015,Space Launch Complex 40,"Cape Canaveral SFS, FL, USA",Launch Successful,Modern
Soyuz 2.1a,Progress M-27M,Soyuz 2.1a,Russian Federal Space Agency (ROSCOSMOS),2015,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure,Modern
